Participants,CORE15_slow,CORE15_fast,CORE30_slow,CORE30_fast,CRYE15_slow,CRYE15_fast,CRYE30_slow,CRYE30_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast,TYR15_slow,TYR15_fast,TYR30_slow,TYR30_fast
1,2.76094379819706,3.32043604327456,4.31380863022756,5.471521995473,3.79981830053794,4.2647559899506,NaN,NaN,3.3701151205379,5.07380622566486,NaN,NaN,NaN,NaN,NaN,NaN
2,3.45944748179855,5.01874609089644,4.75406892716757,5.09783583837963,5.68255493668084,6.76905927571612,5.67009414210777,5.90109202586118,3.43093310884878,NaN,5.57389681564865,7.73753670747821,5.906963995948,6.50681540793685,5.41327944667131,5.58336778662629
3,9.63477059234146,4.54884115010503,NaN,NaN,6.0088380074436,5.97174557322628,6.35014571654797,6.7464894983203,3.65816948211353,6.34007191012405,NaN,NaN,4.19006305436909,6.11780050862988,6.41014145968987,6.26571118881746
4,3.85047020227165,4.32887433078402,5.01937053328573,5.7461263086533,3.6866791560059,4.58474860109632,4.36428061966897,5.40255888859424,4.68462444214302,5.14009532357566,4.15913882706531,4.65497821875372,3.81463720077201,4.74131586834805,5.35073928390091,4.29954178682661
5,4.05810461199721,4.62331267612429,5.24485315621046,5.84359090765673,3.22387277731295,3.76445283888885,4.21146685818589,5.11490882233613,2.46580559898022,2.73214417779435,3.21059877349955,4.42621842994737,4.28475941461645,5.12324544215311,3.14296910180363,3.55002065444113
6,3.95450030714443,3.32123635884753,6.77801964785196,7.63926163773925,6.10437936508486,5.21920154124707,7.2397400941781,4.30601290075555,3.29847196832984,3.76289231935518,NaN,NaN,3.95456384663611,4.253052112172,9.88204985162646,8.11751372339399
7,2.64062857057381,3.15103988052228,3.38245684199954,3.38323320442438,2.25123406517337,2.79051366306403,2.6854154448803,3.27664488757918,3.26915433394212,3.40924643756192,3.31605517797629,3.74063136461332,2.58661150812315,3.12827532781833,3.19861064450937,4.08051022998932
8,NaN,NaN,NaN,NaN,3.76246198791904,4.4413784660895,NaN,NaN,3.16496761497952,4.51042727162891,NaN,4.6365701844086,5.80879687782674,5.84387280207307,7.02643794248165,8.55833820552964
9,3.24841623096286,3.52603894911327,4.21013241619472,4.54024110486293,4.04852561651662,3.63114178323019,3.37522679888307,3.53268240536873,3.70811280674062,NaN,3.23536291880161,NaN,4.22185107127923,4.17553558038699,3.51881300091647,4.35386802247961
10,3.53004543665352,3.72660076136661,3.90744965192957,3.90345588904848,4.23215868549643,4.00206801751761,4.26802401986958,4.30246232134157,4.35401949696921,3.84315068272683,4.19825944246167,4.20196013003843,3.46682003263751,3.79461300066732,3.9857029567104,4.11328413654735
11,3.8803635846364,4.31239143968682,3.09186914182767,4.41890758223913,3.61414175024019,4.40508841574531,3.13995945985935,3.98520768969804,3.60784299850851,4.51234871756801,NaN,4.44173299590607,4.14030009140445,4.0743427894317,4.419579387827,5.52179242937618
12,4.02488974378444,4.96934654232701,4.21470882228638,5.49901574440635,3.96424080591352,5.22797135200868,6.68375556932736,NaN,4.92480269162219,6.09001938811987,4.30184983013311,5.74803338920338,4.21334643769561,5.374024945771,4.35982146550814,5.87877985686191
13,3.21337621941227,3.62442558993588,3.27440765732535,3.78549723848957,3.06134204907474,3.34318863862996,3.90276539325216,3.84294875885918,3.57318707649783,3.7791054243751,2.95645963808366,4.10981293184484,3.45010495685565,3.931629541615,3.1803448763974,3.68729072507061
14,2.64185099570681,3.89827522786215,4.14900848934429,6.06068918659897,4.67308790139128,2.82152034786878,3.99903506452077,5.42051354334771,2.95154706923405,4.10486314105764,3.37543811757376,4.90034229943247,2.88485852791997,3.29712469644571,3.63360074745493,3.64989502931888
15,4.02087272800233,3.79679431261836,5.56651903615502,7.38993238097841,3.58455976644818,4.2520607151859,3.43193633100327,4.46539931278872,3.426240866573,3.96615417581969,3.25541389810508,5.92138019902852,5.45983291277829,6.92718851992284,3.72000482368881,5.12751986199996
16,5.99028312032386,5.67127913325346,4.13787153467093,4.66025101128605,5.19858033750167,5.56633912276232,4.36043569764314,4.42024609930843,4.18335696444721,6.4257847505571,5.01602870290752,NaN,4.74037971084525,4.13338868886052,5.65530283883404,5.94930557125822
17,3.96714446675328,3.99177678121321,3.77370494095724,3.84801970246069,4.63453138772523,5.17117875885382,6.62021070601317,4.27700358216539,6.48944727981502,7.72907426703599,4.59644943372552,5.3157549286978,5.64424301069809,5.95563083700891,4.93867057392858,5.41602974790482
18,5.38434204706167,5.94916378747498,5.12205234015906,6.05313383147546,5.05963485914803,4.95223439277334,5.63693737204413,6.58811320573229,4.9712034014401,5.16811145478075,6.11172631121949,5.66791093336694,5.04296713058818,5.12380304882709,5.70929220192064,6.82855199992974
19,3.68580208488384,3.77006260921374,3.75382044384417,3.39882662966557,2.90201919595646,3.62733857275322,4.78362691297752,6.00188648902401,3.58891665951756,3.86333886905018,3.16210314320891,3.74463146500361,3.19546671275791,3.82764904797326,4.24585733911095,3.97285747898384
20,4.68473653950641,5.61680623559714,NaN,NaN,2.52923870982987,4.73468250956121,5.24076525104715,5.76723811580254,2.0629882091742,2.57677317971616,4.67870332131126,5.01679295101958,2.6169654579575,3.69225122305995,2.9752250812105,2.79170341563606
