Participants,NA_slow,NA_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,3.56451677962997,4.27567444098641,3.3701151205379,5.07380622566486,NaN,NaN
2,5.32253886119298,6.42208920670598,3.43093310884878,NaN,5.57389681564865,7.73753670747821
3,4.63532888172578,4.14105356915173,3.65816948211353,6.34007191012405,NaN,NaN
4,2.90553770888059,3.10211046695112,4.68462444214302,5.14009532357566,4.15913882706531,4.65497821875372
5,2.91743382159366,3.25734646658004,2.46580559898022,2.73214417779435,3.21059877349955,4.42621842994737
6,3.78633640581144,2.9182497681887,3.29847196832984,3.76289231935518,NaN,NaN
7,1.68904486847325,2.82841834848397,3.26915433394212,3.40924643756192,3.31605517797629,3.74063136461332
8,4.83647565861702,3.79734457805117,3.16496761497952,4.51042727162891,NaN,4.6365701844086
9,4.08694330197712,4.83769352424206,3.70811280674062,NaN,3.23536291880161,NaN
10,2.58123677837043,2.13754840508467,4.35401949696921,3.84315068272683,4.19825944246167,4.20196013003843
11,2.90427201040808,3.56756234959842,3.60784299850851,4.51234871756801,NaN,4.44173299590607
12,3.30723072792456,3.74303271921445,4.92480269162219,6.09001938811987,4.30184983013311,5.74803338920338
13,3.16846529388645,3.34591553498541,3.57318707649783,3.7791054243751,2.95645963808366,4.10981293184484
14,3.23985115333677,3.68371180249045,2.95154706923405,4.10486314105764,3.37543811757376,4.90034229943247
15,2.79338673099994,3.23049171413381,3.426240866573,3.96615417581969,3.25541389810508,5.92138019902852
16,4.14076191138076,4.64453262887918,4.18335696444721,6.4257847505571,5.01602870290752,NaN
17,4.07654164505678,5.12026471551922,6.48944727981502,7.72907426703599,4.59644943372552,5.3157549286978
18,NaN,NaN,4.9712034014401,5.16811145478075,6.11172631121949,5.66791093336694
19,4.53547907029439,5.35291456802149,3.58891665951756,3.86333886905018,3.16210314320891,3.74463146500361
20,4.410792754728,4.58280093142611,2.0629882091742,2.57677317971616,4.67870332131126,5.01679295101958
