Participants,Armour,Mass,Speed,lateral_kjcf_peak_noOut,medial_kjcf_first_peak_noOut,medial_kjcf_second_peak_noOut,total_kjcf_first_peak_noOut,total_kjcf_second_peak_noOut,vest_fit_f,vest_comfort_f,offset_f,belt_fit_f,belt_comfort_f,shoulders_comf_f,hips_comf_f,knees_comf_f
1,cARM1,15,Fast,2.24035043,3.98295286,2.090307108,4.26475599,4.24051722,1,1,1,1,1,1,1,0
2,cARM1,15,Fast,2.03288681,5.000318051,1.405183515,6.769059276,4.02069628,1,1,1,0,1,0,1,0
3,cARM1,15,Fast,3.878188741,5.385942262,1.177096645,5.971745573,8.287226991,0,0,1,1,1,1,0,0
4,cARM1,15,Fast,2.962641522,3.945675699,1.242867134,4.584748601,4.13411367,1,1,1,1,1,1,1,1
5,cARM1,15,Fast,2.893260297,3.286024801,1.304724356,3.764452839,4.232054932,1,1,1,1,1,1,1,0
6,cARM1,15,Fast,3.137575104,3.56770624,3.847341716,5.219201541,4.792419328,1,1,1,1,1,1,1,0
7,cARM1,15,Fast,1.182263306,2.479076673,1.986616801,2.790513663,3.228605831,1,1,1,1,1,1,0,0
8,cARM1,15,Fast,3.326018261,4.018747637,1.303755429,4.441378466,5.270109205,1,1,1,1,1,1,0,0
9,cARM1,15,Fast,2.840852097,3.152325354,0.996867085,3.631141783,3.804127414,1,1,1,1,1,0,1,0
10,cARM1,15,Fast,3.031447379,3.335975225,2.184567494,4.002068018,5.389014919,1,1,1,1,1,1,1,0
11,cARM1,15,Fast,1.685304523,3.578463831,1.056953536,4.405088416,3.043496387,1,1,1,1,1,0,1,0
12,cARM1,15,Fast,2.787332447,4.937907492,1.669391245,5.227971352,4.569433702,1,1,1,1,1,1,1,0
13,cARM1,15,Fast,2.672633732,3.010023522,1.136867067,3.343188639,3.868899663,1,1,1,1,1,0,0,0
14,cARM1,15,Fast,2.372179863,2.638273004,1.353207523,2.821520348,3.69374695,1,1,1,1,1,1,0,0
15,cARM1,15,Fast,1.546208363,3.848075887,2.707813256,4.252060715,4.379826337,1,1,1,1,1,1,0,0
16,cARM1,15,Fast,3.973133482,5.289134565,1.29905905,5.566339123,4.722462761,1,1,1,1,1,0,0,0
17,cARM1,15,Fast,2.878363158,3.736837595,2.88690558,5.171178759,5.518873592,1,1,1,1,1,1,1,1
18,cARM1,15,Fast,3.249910876,4.075637674,5.023391363,4.952234393,7.699265783,0,0,1,1,1,1,0,0
19,cARM1,15,Fast,2.158962013,3.27496404,2.174153909,3.627338573,3.476196622,1,1,1,1,0,0,1,0
20,cARM1,15,Fast,2.538057749,3.411993295,0.873940771,4.73468251,1.301116476,1,1,1,1,1,1,1,0
1,cARM1,30,Fast,2.658324686,3.390455345,1.694880711,5.901092026,6.388035128,1,1,1,1,1,1,1,0
2,cARM1,30,Fast,3.998038832,5.613257257,0.892716291,5.901092026,5.002494533,1,1,1,1,1,1,1,0
3,cARM1,30,Fast,4.189340998,5.900146956,1.517141698,6.746489498,5.119185822,1,1,1,1,1,1,1,0
4,cARM1,30,Fast,3.153259255,4.405895393,1.448754039,5.402558889,4.400203932,1,1,1,1,1,1,1,0
5,cARM1,30,Fast,2.296740175,4.24045384,2.718545128,5.114908822,5.240734426,1,1,0,1,1,1,1,0
6,cARM1,30,Fast,3.613029123,3.390455345,3.004015767,4.306012901,5.792777562,0,0,1,1,0,1,1,0
7,cARM1,30,Fast,2.150146932,2.849093045,3.47666411,3.276644888,5.681325183,1,1,1,1,1,1,0,0
8,cARM1,30,Fast,2.658324686,4.806563192,3.06785455,5.114908822,7.511915934,0,0,0,0,0,1,1,1
9,cARM1,30,Fast,2.470826327,2.884764252,1.465874081,3.532682405,4.271281925,1,1,1,0,0,1,1,0
10,cARM1,30,Fast,3.37941469,3.214705309,3.056583357,4.302462321,6.78243533,0,1,1,1,1,1,1,0
11,cARM1,30,Fast,1.889519673,3.740665028,0.77135621,3.98520769,4.365754471,1,1,1,0,0,1,1,0
12,cARM1,30,Fast,4.019305644,3.506624633,2.978031751,4.113284137,6.388035128,1,1,1,1,1,1,1,0
13,cARM1,30,Fast,2.648211028,3.506624633,2.945880121,3.842948759,5.599762541,1,1,1,1,1,1,1,0
14,cARM1,30,Fast,2.787663305,4.188057303,0.931174598,5.420513543,4.1149644,1,1,1,1,1,1,1,1
15,cARM1,30,Fast,1.961787933,4.285948741,1.810960951,4.465399313,5.119185822,1,0,1,1,1,1,1,0
16,cARM1,30,Fast,4.767832238,3.297818303,2.663376426,4.420246099,5.792777562,1,1,1,1,1,1,1,1
17,cARM1,30,Fast,3.428679122,4.545681665,3.302638539,4.277003582,6.388035128,1,1,1,1,1,1,0,0
18,cARM1,30,Fast,4.147402249,4.933140458,4.047762943,6.588113206,7.511915934,0,1,1,1,1,0,1,0
19,cARM1,30,Fast,2.8761143,4.59182874,1.961054991,6.001886489,4.873545509,1,1,1,1,1,1,1,1
20,cARM1,30,Fast,2.849798373,4.931162408,0.620946708,5.767238116,5.792777562,1,1,1,1,1,0,1,0
1,cARM1,15,Moderate,2.055555899,3.335052813,1.974366535,3.799818301,3.847178257,1,1,1,1,1,1,1,0
2,cARM1,15,Moderate,1.828613132,4.298010241,2.226589561,5.682554937,4.147105948,1,1,1,0,1,0,1,0
3,cARM1,15,Moderate,4.117466887,3.116189059,4.823386724,6.008838007,6.615984282,0,0,1,1,1,1,0,0
4,cARM1,15,Moderate,2.253713122,3.417223905,2.071360753,3.686679156,4.034776592,1,1,1,1,1,1,1,1
5,cARM1,15,Moderate,2.698857337,3.00606524,1.014691665,3.223872777,3.890956642,1,1,1,1,1,1,1,0
6,cARM1,15,Moderate,3.313880319,3.342561122,3.584583659,6.104379365,3.472480591,1,1,1,1,1,1,1,0
7,cARM1,15,Moderate,1.040679524,2.013835782,1.755937411,2.251234065,2.600619566,1,1,1,1,1,1,0,0
8,cARM1,15,Moderate,3.480568385,3.369262909,2.315797128,3.762461988,5.689383183,1,1,1,1,1,1,0,0
9,cARM1,15,Moderate,3.590492439,2.327720027,1.104400243,4.048525617,2.872074085,1,1,1,1,1,0,1,0
10,cARM1,15,Moderate,3.266726294,3.040173506,1.80408065,4.232158685,5.190090519,1,1,1,1,1,1,1,0
11,cARM1,15,Moderate,1.761948032,3.274694886,2.082180415,3.61414175,3.764317007,1,1,1,1,1,0,1,0
12,cARM1,15,Moderate,2.674121694,3.520788142,2.479636044,3.964240806,4.623556777,1,1,1,1,1,1,1,0
13,cARM1,15,Moderate,2.711064344,2.868858513,0.370076695,3.061342049,3.720110453,1,1,1,1,1,0,0,0
14,cARM1,15,Moderate,2.916855828,3.563740713,1.538127844,4.673087901,4.539171412,1,1,1,1,1,1,0,0
15,cARM1,15,Moderate,1.443706341,3.009334667,2.642499606,3.584559766,3.711453999,1,1,1,1,1,1,0,0
16,cARM1,15,Moderate,3.337263619,4.483185547,4.25621341,5.198580338,6.845584467,1,1,1,1,1,0,0,0
17,cARM1,15,Moderate,2.508434345,3.267159765,3.489178081,4.634531388,4.056393202,1,1,1,1,1,1,1,1
18,cARM1,15,Moderate,3.813548964,3.235450789,4.483011556,5.059634859,7.876777048,0,0,1,1,1,1,0,0
19,cARM1,15,Moderate,1.831676377,2.505845755,1.997627398,2.902019196,3.284037538,1,1,1,1,0,0,1,0
20,cARM1,15,Moderate,2.400863098,2.182899041,2.950944151,2.52923871,4.578571004,1,1,1,1,1,1,1,1
1,cARM1,30,Moderate,4.830206917,3.562118315,2.03705048,2.790513663,6.78243533,1,1,1,1,1,1,1,0
2,cARM1,30,Moderate,4.03181719,4.978083911,1.30558921,5.670094142,5.262090952,1,1,1,1,1,1,1,0
3,cARM1,30,Moderate,3.991471885,5.438566349,1.519717658,6.350145717,7.522752561,1,1,1,1,1,1,1,0
4,cARM1,30,Moderate,2.876884346,3.888668499,1.772779364,4.36428062,4.291081385,1,1,1,1,1,1,1,0
5,cARM1,30,Moderate,2.507186354,3.701927175,2.200729538,4.211466858,4.887655217,1,1,0,1,1,1,1,0
6,cARM1,30,Moderate,3.775562207,3.62639433,1.812957938,7.239740094,5.23720496,0,0,1,1,0,1,1,0
