Participants,CORE15_slow,CORE15_fast,CORE30_slow,CORE30_fast,CRYE15_slow,CRYE15_fast,CRYE30_slow,CRYE30_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast,TYR15_slow,TYR15_fast,TYR30_slow,TYR30_fast
1,1.55739632931291,1.62005962237331,2.27528489720055,2.13603111856219,2.05555589923998,2.24035042980028,NaN,NaN,2.08809397628244,2.13741410467115,NaN,NaN,NaN,NaN,NaN,NaN
2,3.59938570127467,3.13334166142824,2.6637402375524,3.0547556393286,1.82861313201497,2.03288680950172,4.03181719013208,3.99803883165044,3.13095722123431,NaN,2.41249870682134,1.98932384939727,2.72154955385221,2.68081069381879,4.01930564392096,4.04569744379975
3,6.36606910295157,3.08446470525203,NaN,NaN,4.11746688661863,3.87818874064641,3.99147188499777,4.18934099837664,4.5796505850915,3.57023655001142,NaN,NaN,4.14078708539392,3.75436185050722,3.93370537548347,4.17900680757741
4,2.31679560313071,2.79022437940835,2.10963327139088,2.44439712497572,2.25371312165132,2.96264152179169,2.87688434561401,3.15325925521138,1.26365495655694,1.78057784624661,2.41051904620229,2.6895908724333,1.48582507749472,1.88638793928777,2.92359275371435,3.2834619214146
5,1.44838342216397,1.73898527040219,2.87920996283891,2.83156712226175,2.69885733702247,2.89326029729699,2.50718635439816,2.29674017512869,2.60642281266134,2.57065788441935,3.58534812873162,3.54066792874132,2.50238928207369,2.50154473457226,3.36523484670274,3.68376767039356
6,3.77718886969124,3.8507309977098,3.55571560527392,3.55511922719909,3.31388031904746,3.13757510372506,3.77556220713449,3.61302912324038,2.53211871845216,2.70170320355267,NaN,NaN,4.05363126481925,3.6389792440093,3.01510135996849,2.8889738535542
7,1.64631243665761,1.76623026584994,1.59739355128637,2.1401427622613,1.04067952369026,1.18226330615362,1.9666621659182,2.15014693201352,0.89297960146097,1.32459294852965,1.35346721317631,1.59217676889127,1.25959684975093,1.32589122549884,1.75996400431934,1.98600679509947
8,NaN,NaN,NaN,NaN,3.48056838504983,3.32601826128593,NaN,NaN,4.38547782914276,3.90957932686999,NaN,5.02806836229162,3.86896896410998,3.26184972841823,3.24077628868658,3.34199286742044
9,3.11151694812988,2.54048528223031,3.52640812272145,3.41609041841477,3.59049243941345,2.84085209704189,3.06483238373569,2.47082632682074,2.60400514798017,NaN,2.77927189405904,NaN,2.95251661400033,2.76899492405771,3.8230491027746,3.27085889080715
10,2.55920602833991,2.43632320097878,3.43081053779235,3.10587330931497,3.26672629434642,3.03144737913825,3.420087155787,3.37941469025282,3.35547311756299,3.14891534802902,2.87746626807426,3.00681745195299,2.94031390610461,2.79100142415334,2.79654435073499,2.64772346113265
11,1.6752009703351,1.05798692333357,2.77716943768322,2.36317972278034,1.76194803192707,1.68530452269937,1.85659650407922,1.88951967338242,2.44569682411057,2.55447360349902,NaN,2.12736766147642,3.07277510742954,2.93568636878846,1.87709261945744,2.31400399942473
12,3.75907858997314,3.70595354954938,3.4007359480036,3.54766224295179,2.67412169446473,2.78733244739538,3.23604153679941,NaN,2.9025628297233,2.96749341213078,3.00639983785998,3.13516526021512,2.96748325467911,3.32214964045838,2.99102931864533,3.33434280667741
13,1.85703890777293,2.10864053911935,2.64089898268837,2.71933782098967,2.7110643435652,2.67263373188339,2.49468159269074,2.64821102805927,2.29591419435527,2.32076961467368,3.17510979503947,3.03805286477206,2.15877694233284,2.13678990150026,2.97993194119889,3.23343023414409
14,2.53069065895817,2.36258934248137,3.21534096282985,2.71329083589677,2.91685582773732,2.37217986307649,2.55749603287199,2.78766330467893,2.95975773371025,2.59434498993134,2.76766501676177,2.90774632099233,2.18535637443109,2.8276361696985,2.58912206390801,2.49597886767249
15,1.38059989907554,1.36253020498479,1.08327395257726,1.6815187832755,1.44370634055466,1.54620836298259,2.40279894761778,1.96178793263144,1.33879735538379,1.5933028987853,3.30568331896404,1.96803765051578,1.27295791946232,1.83343977207318,1.87063396306169,2.16519259636312
16,4.56243744458701,4.56309619061894,5.27216629385157,4.99609423628698,3.33726361902661,3.97313348231296,5.08845489244585,4.76783223829242,4.3801874348431,4.21569144624708,6.36562374820617,NaN,6.66895453871742,6.15861369529264,5.38313433341649,5.28542788042608
17,3.4834708364906,3.60113965540681,2.53254617592773,2.97005511077514,2.50843434503624,2.87836315761916,3.54008959777695,3.42867912190662,3.46606537611331,3.81025295215843,2.60630665541671,3.00913847014231,4.07072096717494,4.01214266333486,4.9596648954053,4.83020691697632
18,3.08475613524333,2.78672056690292,2.49531654101512,2.54079779340508,3.81354896448946,3.24991087648563,3.91235273135227,4.14740224887385,2.55594166253794,2.22220218498671,3.88814002357644,4.49970054878824,4.10809690450022,3.08626777894114,3.09264289659964,2.82157244631234
19,3.15543665621451,3.25245940403022,1.7421489988698,2.08807505613217,1.83167637745849,2.15896201290106,2.40943304005188,2.87611429988948,2.34144304382313,2.6168011483676,1.89701349769588,2.63198030714278,2.33611357471838,2.69195923974272,2.2606310173271,2.65832468602694
20,2.53829939697756,2.60334377117325,NaN,NaN,2.40086309845391,2.53805774891364,2.58013488360134,2.84979837345892,1.88643835898257,2.05210600432389,2.70438016254274,2.99772649204158,2.09333817996827,2.42838097731369,1.9635583164726,2.50319612219665
