Participants,CORE15_slow,CORE15_fast,CORE30_slow,CORE30_fast,CRYE15_slow,CRYE15_fast,CRYE30_slow,CRYE30_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast,TYR15_slow,TYR15_fast,TYR30_slow,TYR30_fast
1,2.81137430464049,3.19649276922347,3.98013229100722,5.09915666716845,3.33505281292744,3.98295285995027,NaN,NaN,3.27475526968867,4.43481248234321,NaN,NaN,NaN,NaN,NaN,NaN
2,3.19153000219129,4.1822187166656,4.42795523845602,4.62932690039088,4.29801024123225,5.00031805124056,4.97808391137381,5.61325725672151,3.26862684387424,NaN,5.11324797630814,6.26095898158868,4.55316240935783,4.97117349703551,4.53258008108991,4.77550075637258
3,2.26555535342761,4.46087808381639,NaN,NaN,3.11618905899793,5.38594226153917,5.4385663493411,5.90014695620576,5.33678567868363,5.56576064592268,NaN,NaN,4.02083960023936,4.75437685697608,3.46207885648046,5.32219625567164
4,3.40809042344532,3.69279662876959,4.32323092970123,4.80656319213622,3.41722390491101,3.94567569883842,3.8886684989177,4.40589539299617,3.75663394494877,3.9776352711596,3.81112985410426,4.18270756432675,3.35913334968612,3.72738444201506,3.56116996562982,3.86690050118345
5,3.37247659822339,3.66181533798251,4.15394204164846,4.41026565978073,3.00606523955148,3.28602480088719,3.70192717533763,4.24045384035811,2.42380608178773,2.82828600553371,3.20161095092471,3.77056307946216,3.58332616863259,4.11549058484838,2.77906195741058,3.25762697603676
6,3.38208724383985,3.34492438560771,3.89492689190935,3.28828345700643,3.34256112227218,3.56770624012003,3.62639433047532,3.39045534474196,2.8993532157088,2.93940251433012,NaN,NaN,3.55910318188353,4.04397297548199,3.28001930580229,2.74887679208366
7,2.38267770876467,2.71900178209025,2.90435442260379,3.1963057602894,2.01383578177485,2.47907667317042,2.64400410976741,2.84909304519512,2.78115532125235,2.93727537056449,2.11183923110529,2.46994093342457,2.22107607742249,2.68422741904064,2.58447020178127,3.13468884882879
8,NaN,NaN,NaN,NaN,3.36926290884837,4.01874763725778,NaN,NaN,2.76373819307867,4.0094674909238,NaN,4.35883405601704,4.50800362681663,4.63928096502567,5.51344935420142,6.44216599817461
9,2.5154084657875,2.79414575931394,2.91777467361889,3.39387845118682,2.3277200272091,3.15232535364065,2.06340975594933,2.88476425203326,2.7324641113943,NaN,2.47221472637391,NaN,2.37116979685023,2.66142414939821,3.3870990467766,3.38406826672876
10,2.85423305999591,3.12381324510076,2.70618697807315,2.89462938143807,3.04017350646957,3.33597522508872,3.09356853195847,3.21470530885863,2.82804068257341,2.8828029164291,3.44734581750598,3.82959395952018,3.30831747512668,3.61902491157661,2.51358900217942,2.69469337126536
11,3.12520908588973,3.71747120287848,3.27777613220346,3.69201134121536,3.2746948857065,3.57846383077269,3.30936227830653,3.74066502849149,2.88013795835235,3.56211831491309,NaN,3.76930709253503,3.68034479071565,3.80217931504719,3.50343163798998,4.15067129245445
12,3.77645046970934,4.48596258266025,4.02416092085019,4.92925044036477,3.52078814240761,4.93790749164591,5.22528838444275,NaN,4.29874586930483,4.95406952714726,4.09307787613238,5.04794224080223,3.3158370744558,4.64909508786653,3.9603767139999,4.86396544975381
13,2.98538948453137,3.4007060959381,3.07940935409671,3.35741888060142,2.86885851348533,3.010023521617,3.32637333906403,3.50662463294989,3.19749315563892,3.39074325951211,2.75620419086564,3.87546355708585,3.38310316767869,3.49668814096067,3.19516343670959,3.25998332248497
14,2.5469885883692,3.44905409612535,3.89614111415871,4.68973174408008,3.56374071271688,2.63827300388589,3.49193280578412,4.18805730266822,2.64548325399077,3.39044131422734,2.96343884317496,4.45791998136413,2.44202772900255,3.11959752479236,3.06038117192083,3.38617947765856
15,2.71465274892109,3.35908050363139,4.72561247334516,5.74685480491055,3.00933466676528,3.84807588740677,3.03627492279708,4.28594874052255,3.204457540566,3.51486873091365,2.626615592269,5.10689310237187,4.36651084949834,5.12735368424889,3.4686336525091,4.69009970915824
16,2.05334345687706,4.83969953684774,3.34264210932389,3.35279320932548,4.48318554707905,5.28913456475538,3.31899131398219,3.29781830276265,3.61955675089188,4.12520579237156,3.58123308525399,NaN,3.48554321385291,3.94081696449106,4.59632397864272,5.44768874687382
17,2.62875767615444,3.08551100613662,2.85704127485903,2.45780589629935,3.26715976500792,3.73683759488058,3.33213125882696,4.54568166459982,2.16709331225876,3.14669929503258,3.65755534939124,3.954873317559,2.69191601315223,3.89923102093595,2.78020054532482,2.35395733216834
18,3.53231626435062,3.74513468284224,3.12944295566278,4.30547185191338,3.23545078888219,4.07563767447423,3.628679548289,4.93314045780443,4.27519234164204,4.53197921695749,4.22046556833088,5.19913980147951,2.19418117889813,2.73922504439905,2.88087489108708,5.11166065865979
19,2.67751300057673,3.02737315483993,2.82796854395744,3.20395106448989,2.50584575549792,3.2749640401093,4.06943360726492,4.59182873971545,2.47497572741034,2.8607381868773,2.57914865630641,3.50533966201539,2.68721693492565,3.40065654652956,1.96684746043824,3.44160939639857
20,3.9457712606149,4.6043312627209,NaN,NaN,2.18289904087599,3.41199329484397,4.63805037501681,4.93116240827,1.94450350629582,2.55160210782422,3.96678827191014,4.15327151016564,2.17626706432899,3.18168510639837,2.73153344711893,2.96124862588266
