Participants,CORE15_slow,CORE15_fast,CORE30_slow,CORE30_fast,CRYE15_slow,CRYE15_fast,CRYE30_slow,CRYE30_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast,TYR15_slow,TYR15_fast,TYR30_slow,TYR30_fast
1,3.06785455000368,2.93983639246836,2.57812432165287,1.77623823654149,1.97436653541623,2.09030710756075,NaN,NaN,2.0395932799287,1.69488071057441,NaN,NaN,NaN,NaN,NaN,NaN
2,0.809443794815508,0.799417041696794,2.07038540353554,0.844022476514783,2.22658956106584,1.40518351460818,1.30558921009311,0.892716291422463,1.0783267196152,NaN,3.39923288687927,2.72942338159979,1.24710896655071,0.852728193744989,1.51603355317294,1.05108269432587
3,7.10824066455994,3.1353561880471,NaN,NaN,4.82338672420576,1.17709664487513,1.51971765788222,1.51714169830259,1.89647555928573,1.39578183720049,NaN,NaN,2.51741900234072,1.4026313604948,3.85503141212461,1.39988457747679
4,2.03705047996695,1.10066971710622,2.88379023733925,1.49020455794331,2.07136075291556,1.24286713447505,1.77277936352527,1.44875403887613,3.04159706380855,2.08570169748345,2.57286541810926,2.30666943205169,1.95012152348453,1.78516566026626,2.48596425985478,2.12021948114657
5,0.850074496577836,1.44864221262183,1.46512382894034,1.58873315442385,1.01469166545313,1.3047243561739,2.20072953824529,2.71854512761094,1.48617339846698,1.39465815326366,1.21299334207077,1.40211635357507,1.72915748944226,1.66257230231542,1.40693004447133,1.44332531861992
6,2.85790118349435,2.65413195542901,5.11547186796012,4.96721388471538,3.58458365892722,3.84734171589597,5.72082512025568,6.18164769083958,3.46341702399912,3.20607940379556,NaN,NaN,2.36352418944609,2.67579140720552,6.72970091103198,6.37100528278466
7,2.3617211784854,1.70207498001535,3.0867077918263,0.898849839412079,1.75593741142372,1.98661680112223,3.45785830681843,3.47666411002558,3.54309384726542,1.88289487110509,3.93018945255242,3.47329790242657,1.59904721559994,1.11655282521601,1.2103014659728,0.7405693000168
8,NaN,NaN,NaN,NaN,2.31579712759159,1.30375542901458,NaN,NaN,2.612171635244,2.17863090668618,NaN,3.20508272273559,2.97803175082595,3.00580718144051,3.57908486348853,4.31709535854966
9,1.27763580304185,1.20521823753033,1.36195746995922,0.926031391107941,1.10440024257505,0.996867084965323,1.34023166988837,1.4658740809332,2.8875604561222,NaN,1.29928001450522,NaN,1.84300872932039,2.6135861093537,1.04693719281315,1.53060110167746
10,3.28845227444404,3.00401576688313,2.70926409843375,2.39360350013177,1.80408064977922,2.18456749443809,3.70928125565263,3.05658335657558,3.8356271169986,3.57670744138634,3.48904555248825,3.23009661370725,2.46382601140804,2.17399175126434,3.77361299311618,3.40004691288612
11,3.06481917253941,2.24172904680701,1.25904578734802,1.67353822655729,2.08218041523116,1.05695353624257,3.53337039271187,0.771356210121804,1.36028969938635,1.25893639583596,NaN,0.740652628507209,1.46508099318492,1.02325677546943,2.34442272127347,1.72326951273708
12,2.32413781549885,1.68540314657502,2.11954751803176,1.57729858429717,2.47963604360892,1.66939124457185,4.02097215818795,NaN,1.76304139988433,1.65438607058542,2.33972430035219,1.24776011007563,1.81295793752344,1.58362562058879,1.93683576637971,1.33787001562943
13,0.715703669814178,2.40539716280805,0.668382260059282,1.00985915661525,0.370076695250098,1.13686706704712,1.20450085655384,2.94588012081336,1.69261037831958,1.90263577510538,1.49963844456783,0.711525727912582,0.623968980354846,1.0397307223412,0.654839756300772,0.959937117291108
14,1.47660694503784,0.712868149807686,1.73948789894595,0.87307160797419,1.53812784398415,1.35320752303279,1.81424314553843,0.931174598295449,1.35873209927142,0.882322802823501,1.58699528148218,1.64247125802621,1.77903491072648,1.4467229596001,1.2074008187089,1.50810940515849
15,3.48322612243524,2.3640579707038,4.87067302067554,0.8413799448548,2.64249960608019,2.70781325582645,3.04074671653102,1.81096095114334,3.93322645392734,2.71888631992434,3.16836579196818,2.70641177583813,3.95695690453502,3.14495271354473,1.74552277750962,2.56793330721703
16,3.18610351496312,1.68081892630992,4.03248578136932,3.41783807169156,4.2562134097266,1.29905904963004,4.17375940393391,2.66337642555025,2.49005994974652,1.48911903530366,2.98686108550808,NaN,2.75794294061247,2.3537567676306,4.35541441324486,1.35999931814651
17,2.38580471296442,1.48319293991804,2.14548333653609,5.71542342904702,3.48917808059262,2.88690558001711,5.64891285769288,3.30263853877399,4.55318747428452,4.98280818701394,2.36853185980996,3.0782124507447,3.22529712110039,2.93685901955046,8.15899395183975,5.72886447641628
18,4.88258021801778,4.17048846205432,5.34833219844239,5.27643508298983,4.48301155561163,5.02339136327656,4.93319878090008,4.04776294284136,4.25461021987597,3.5027154672483,3.43692655804798,4.11655723172304,4.37659169471352,4.22623064482144,4.99881595756999,4.59225684656519
19,0.879472917696794,0.952978537587966,2.34477073717249,3.51542025832143,1.99762739811301,2.17415390871113,2.25936718230999,1.96105499112473,1.16021710976595,1.03483078278279,1.46501345605239,3.55099620892959,1.8004928801679,1.94059479364587,2.83032919716559,1.38824398321887
20,2.69111602495667,0.810037055801185,NaN,NaN,2.95094415136321,0.87394077075333,3.14280036596871,0.620946707547046,2.80811861383135,1.31494785940634,2.28817466663683,1.31728131268982,2.97573241290912,0.809610318382377,2.84904207768503,1.03552903602346
