Participants,CORE15_slow,CORE15_fast,CORE30_slow,CORE30_fast,CRYE15_slow,CRYE15_fast,CRYE30_slow,CRYE30_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast,TYR15_slow,TYR15_fast,TYR30_slow,TYR30_fast
1,4.20496862707458,3.68961518570679,5.14789191366299,4.83241096152039,3.84717825672123,4.24051722031752,NaN,NaN,4.48507885601075,4.81831760143018,NaN,NaN,NaN,NaN,NaN,NaN
2,4.24301586897013,3.95247937860984,4.54199402426523,4.83001716278243,4.14710594821409,4.02069628030989,5.26209095241001,5.00249453283912,4.18932685305915,NaN,5.26060409041507,5.17658300679235,3.86532612721906,3.86306520614913,5.47868044569614,5.14712358215641
3,5.40128441083672,7.7352589836943,NaN,NaN,6.61598428185495,8.28722699134467,7.52275256122716,8.98111117626019,8.41080367969179,6.89697383028183,NaN,NaN,7.14824164995645,5.76916068547577,5.97743496542483,8.0162687763071
4,4.32870630368673,4.57450468229175,4.45600165862216,3.70400794130299,4.03477659204055,4.13411367012948,4.29108138481012,4.40020393194801,3.91405372439164,4.08318867409101,4.7863974390408,4.94890449035358,3.40471123682889,3.94063853792869,2.20484271055133,5.71003656565674
5,3.29609745492414,4.05276250653247,4.77122543691997,5.12321059234518,3.89095664170762,4.23205493232042,4.88765521650236,5.2407344258274,3.69444145012836,4.23156950067877,4.80626956008619,4.96306942699636,4.12450108303775,4.43879297662789,4.51570456102968,5.09093967866522
6,6.18785233644536,6.26260245160406,5.54054546637351,3.58309591270825,3.47248059081834,4.79241932844946,5.23720496036764,9.2450572206582,5.92279346213241,4.85877146223718,NaN,NaN,5.86232544203104,6.19407871788855,2.51270298610305,3.71470768858822
7,4.05919867599575,3.96160148346065,4.26735308033845,4.49693885558747,2.60061956617327,3.2286058314561,5.53286948469245,5.68132518296393,4.26550617890669,4.00364966227968,3.35917592458847,3.82211922471656,2.78966913293879,2.58764825970887,2.98739150067837,2.76532111751738
8,NaN,NaN,NaN,NaN,5.68938318278732,5.27010920476529,NaN,NaN,6.68414013700816,6.13367147293862,NaN,8.28958551146775,6.82965391261066,5.90507236578538,6.79061468500814,7.53840074323558
9,4.05645514035737,3.17597558958965,4.14645130160897,4.09324772598314,2.87207408453383,3.80412741425389,3.65235828437457,4.27128192465654,3.77261335282662,NaN,3.10922328719069,NaN,3.19732750157219,3.99353942341271,4.6524369012565,4.09883112699856
10,5.44654356522827,5.47984581571602,5.90063310223756,5.79902576595763,5.19009051883604,5.38901491868167,7.10744965197716,6.78243533023201,6.22894306566589,6.70650659686134,6.35491555829188,6.21534716642649,5.48537456342466,5.09115211214204,6.55162018021875,6.11021910916693
11,4.59572946524668,3.41535723241768,4.83578376261288,4.5670600638056,3.76431700716667,3.0434963865524,5.33135386058768,4.36575447101401,3.42996775163068,3.48518053597487,NaN,3.60667172906438,4.47659193041423,3.93197483590915,4.19522114803878,3.75125640911337
12,5.7233274167597,5.2731503363319,5.45899099647614,5.15016891593267,4.6235567772339,4.569433702309,6.57859665761059,NaN,4.55580851213857,4.46379988153609,5.01448935641076,4.47443472639302,4.32566160180438,4.60866242251901,4.65568701228472,4.60792749627697
13,2.96357110341616,4.68881770574911,3.96410869912302,3.90964527855016,3.72011045332279,3.86889966263412,4.63273343509705,5.59976254132454,3.41669510538057,4.44092060980128,4.72246276089969,3.90018855355065,3.38874154119634,3.32964307450796,4.08419114159752,4.2571784312314
14,3.51665351267213,3.47989891672285,4.64972258932436,3.90946541446807,4.53917141200527,3.69374694982958,4.11565078157948,4.11496439975761,3.9037119133735,3.6579727842814,4.25791412837439,4.84129601407282,3.831181473868,4.83158164610917,3.77487963202346,4.39275112596829
15,2.75464392313758,3.66839001421124,3.25980695497707,2.7579689089467,3.71145399927577,4.37982633684359,4.69026402811725,5.11918582244007,4.25432737831869,3.92712718080666,4.77938997807948,4.42464965977562,3.96955330085577,4.1509744799995,3.6728541538848,4.99485713994038
16,4.25786730685606,4.81242192880897,8.36311863327794,8.30982097495833,6.84558446730144,8.92000487614661,7.84364073968152,8.54518708664802,6.091906656196,2.88252492163601,8.04088637042684,NaN,7.98610859343743,8.64653431255748,9.28741001650365,9.27847580705452
17,4.18158989320729,5.01545797690636,3.41986739055647,7.95436583718462,4.0563932020669,5.51887359246907,4.18850471557326,6.38803512793477,3.45768564438963,4.12930715808721,4.99552393194503,5.65091330192587,3.50874092676126,4.58551648800119,8.77675315356095,6.21282439668224
18,7.65455555233704,7.13175388655217,7.2588803686607,6.93658189823367,7.87677704835459,7.69926578348916,5.90220949113335,7.51191593405912,6.64565748434338,6.35359421824139,8.19467358621191,8.41110183767675,8.19798019058429,7.803532213291,7.0118078322346,7.37167605355878
19,2.48817383573812,3.77364895005707,3.10789173648652,5.38296486779645,3.28403753845926,3.47619662159814,4.67727765071798,4.87354550916252,2.64656438079838,2.9629250387122,3.29620295238835,6.1557814549808,3.59402158898968,4.60294967263011,2.94747822426486,4.47285654790066
20,5.35481188203121,5.35797636718176,NaN,NaN,4.57857100418928,1.30111647571063,5.81410595527209,5.79277756207152,4.22117887781166,4.26633780401651,5.64229973566361,5.73237376814347,4.54719750467355,4.71274564505862,4.89924655261616,4.96617503959894
