Participants,Mass,Speed,lateral_kjcf_peak_withNA_noOut,medial_kjcf_first_peak_withNA_noOut,medial_kjcf_second_peak_withNA_noOut,total_kjcf_first_peak_withNA_noOut,total_kjcf_second_peak_withNA_noOut
1,0,Moderate,1.810093313,3.148385643,1.683367773,3.56451678,4.431130396
2,0,Moderate,1.544394965,3.864088378,2.015831803,5.322538861,2.691979319
3,0,Moderate,3.76302326,3.378374742,2.661686099,4.635328882,5.725776205
4,0,Moderate,1.622730829,2.673160843,1.621710014,2.905537709,2.519695024
5,0,Moderate,2.750132824,2.711743886,0.615328658,2.917433822,3.624351925
6,0,Moderate,1.705277231,2.341661534,4.450214554,3.786336406,4.677472531
7,0,Moderate,1.183625939,1.305147019,2.23057966,1.689044868,2.995719144
8,0,Moderate,4.627091098,3.540365714,3.447131177,4.836475659,7.376097881
9,0,Moderate,1.748076936,3.284715969,1.865376114,4.086943302,3.291743069
10,0,Moderate,2.071082303,2.420576301,3.061846903,2.581236778,4.530780848
11,0,Moderate,1.42525049,2.340538633,1.646439354,2.90427201,2.650006244
12,0,Moderate,1.680553389,3.218095953,2.846058933,3.307230728,4.309574257
13,0,Moderate,1.8671084,2.437260284,1.585473452,3.168465294,1.972675396
14,0,Moderate,1.694026057,2.954222083,1.556041219,3.239851153,3.696616331
15,0,Moderate,1.328081365,1.930134242,3.491366235,2.793386731,3.289039972
16,0,Moderate,4.255414456,3.857531864,3.044783751,4.140761911,7.240559777
17,0,Moderate,2.734783928,2.353294543,4.565890863,4.076541645,5.292038819
18,0,Moderate,3.76302326,2.340538633,4.565890863,3.370115121,4.083188674
19,0,Moderate,1.541872917,3.468576547,1.779461587,4.53547907,2.935045148
20,0,Moderate,2.693470009,3.384199186,1.182099925,4.410792755,3.572369071
1,0,Fast,1.296696036,3.467265957,2.212710831,4.275674441,3.403162682
2,0,Fast,1.957111463,4.531343564,1.104542525,6.422089207,2.359792502
3,0,Fast,2.894126331,3.031647312,3.790065692,4.141053569,6.267770832
4,0,Fast,1.887002641,2.811712195,1.442784259,3.102110467,2.552163291
5,0,Fast,2.653390751,2.975557081,0.845516847,3.257346467,3.743088975
6,0,Fast,1.696629498,2.635840556,4.978010583,2.918249768,6.626599577
7,0,Fast,1.089910112,2.295478603,1.390943353,2.828418348,2.411382572
8,0,Fast,3.514935849,3.492587858,2.106317704,3.797344578,5.752614364
9,0,Fast,1.587545882,3.822687434,1.826373918,4.837693524,3.535568224
10,0,Fast,2.071948508,2.224214632,2.848960763,2.137548405,4.885147686
11,0,Fast,1.261336411,2.922815982,1.979067981,3.56756235,2.776086763
12,0,Fast,1.468167342,3.618437495,2.390829257,3.743032719,3.916834693
13,0,Fast,1.921019485,2.674783069,1.38039817,3.345915535,2.36793172
14,0,Fast,1.625069997,3.121244928,1.892977151,3.683711802,4.058920871
15,0,Fast,1.402215539,2.683483374,3.965352577,3.230491714,3.704095924
16,0,Fast,4.044287104,4.086913452,2.812399405,4.644532629,6.39223999
17,0,Fast,3.182131303,3.914497041,3.296027174,5.120264716,5.418996703
18,0,Fast,2.941807856,4.220465568,1.826373918,6.090019388,6.091906656
19,0,Fast,1.729172287,3.895308766,1.520186108,5.352914568,3.140562469
20,0,Fast,2.941807856,3.424351569,1.300562612,4.582800931,3.744552018
1,15,Moderate,2.088093976,3.27475527,2.03959328,3.370115121,4.485078856
2,15,Moderate,3.130957221,3.268626844,1.07832672,3.430933109,4.189326853
3,15,Moderate,4.579650585,5.336785679,1.896475559,3.658169482,8.41080368
4,15,Moderate,1.263654957,3.756633945,3.041597064,4.684624442,3.914053724
5,15,Moderate,2.606422813,2.423806082,1.486173398,2.465805599,3.69444145
6,15,Moderate,2.532118718,2.899353216,3.463417024,3.298471968,5.922793462
7,15,Moderate,0.892979601,2.781155321,3.543093847,3.269154334,4.265506179
8,15,Moderate,4.385477829,2.763738193,2.612171635,3.164967615,6.684140137
9,15,Moderate,2.604005148,2.732464111,2.887560456,3.708112807,3.772613353
10,15,Moderate,3.355473118,2.828040683,3.835627117,4.354019497,6.228943066
11,15,Moderate,2.445696824,2.880137958,1.360289699,3.607842999,3.429967752
12,15,Moderate,2.90256283,4.298745869,1.7630414,4.924802692,4.555808512
13,15,Moderate,2.295914194,3.197493156,1.692610378,3.573187076,3.416695105
14,15,Moderate,2.959757734,2.645483254,1.358732099,2.951547069,3.903711913
15,15,Moderate,1.338797355,3.204457541,3.933226454,3.426240867,4.254327378
16,15,Moderate,4.380187435,3.619556751,2.49005995,4.183356964,6.091906656
17,15,Moderate,3.466065376,2.167093312,4.553187474,6.48944728,3.457685644
18,15,Moderate,2.555941663,4.275192342,4.25461022,4.971203401,6.645657484
19,15,Moderate,2.341443044,2.474975727,1.16021711,3.58891666,2.646564381
20,15,Moderate,1.886438359,1.944503506,2.808118614,2.062988209,4.221178878
1,15,Fast,2.137414105,4.434812482,1.694880711,5.073806226,4.818317601
2,15,Fast,1.989323849,3.954873318,3.206079404,2.137548405,6.267770832
3,15,Fast,3.57023655,5.565760646,1.395781837,6.34007191,6.89697383
4,15,Fast,1.780577846,3.977635271,2.085701697,5.140095324,4.083188674
5,15,Fast,2.570657884,2.828286006,1.394658153,2.732144178,4.231569501
6,15,Fast,2.701703204,2.939402514,3.206079404,3.762892319,4.858771462
7,15,Fast,1.324592949,2.937275371,1.882894871,3.409246438,4.003649662
8,15,Fast,3.909579327,4.009467491,2.178630907,4.510427272,6.133671473
9,15,Fast,3.148915348,2.939402514,1.826373918,4.678703321,3.457685644
10,15,Fast,3.148915348,2.882802916,3.576707441,3.843150683,6.706506597
11,15,Fast,2.554473603,3.562118315,1.258936396,4.512348718,3.485180536
12,15,Fast,2.967493412,4.954069527,1.654386071,6.090019388,4.463799882
13,15,Fast,2.320769615,3.39074326,1.902635775,3.779105424,4.44092061
14,15,Fast,2.59434499,3.390441314,0.882322803,4.104863141,3.657972784
15,15,Fast,1.593302899,3.514868731,2.71888632,3.966154176,3.927127181
16,15,Fast,4.215691446,4.125205792,1.489119035,6.425784751,2.882524922
