Participants,0_slow,0_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,1.810093313,1.296696036,2.088093976,2.137414105,NaN,NaN
2,1.544394965,1.957111463,3.130957221,NaN,2.412498707,1.989323849
3,3.76302326,2.894126331,4.579650585,3.57023655,NaN,NaN
4,1.622730829,1.887002641,1.263654957,1.780577846,2.410519046,2.689590872
5,2.750132824,2.653390751,2.606422813,2.570657884,3.585348129,3.540667929
6,1.705277231,1.696629498,2.532118718,2.701703204,NaN,NaN
7,1.183625939,1.089910112,0.892979601,1.324592949,1.353467213,1.592176769
8,4.627091098,3.514935849,4.385477829,3.909579327,NaN,5.028068362
9,1.748076936,1.587545882,2.604005148,NaN,2.779271894,NaN
10,2.071082303,2.071948508,3.355473118,3.148915348,2.877466268,3.006817452
11,1.42525049,1.261336411,2.445696824,2.554473603,NaN,2.127367661
12,1.680553389,1.468167342,2.90256283,2.967493412,3.006399838,3.13516526
13,1.8671084,1.921019485,2.295914194,2.320769615,3.175109795,3.038052865
14,1.694026057,1.625069997,2.959757734,2.59434499,2.767665017,2.907746321
15,1.328081365,1.402215539,1.338797355,1.593302899,3.305683319,1.968037651
16,4.255414456,4.044287104,4.380187435,4.215691446,6.365623748,NaN
17,2.734783928,3.182131303,3.466065376,3.810252952,2.606306655,3.00913847
18,NaN,NaN,2.555941663,2.222202185,3.888140024,4.499700549
19,1.541872917,1.729172287,2.341443044,2.616801148,1.897013498,2.631980307
20,2.693470009,2.941807856,1.886438359,2.052106004,2.704380163,2.997726492
