Participants,0_slow,0_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,3.148385643,3.467265957,3.27475527,4.434812482,NaN,NaN
2,3.864088378,4.531343564,3.268626844,NaN,5.113247976,6.260958982
3,3.378374742,3.031647312,5.336785679,5.565760646,NaN,NaN
4,2.673160843,2.811712195,3.756633945,3.977635271,3.811129854,4.182707564
5,2.711743886,2.975557081,2.423806082,2.828286006,3.201610951,3.770563079
6,2.341661534,2.635840556,2.899353216,2.939402514,NaN,NaN
7,1.305147019,2.295478603,2.781155321,2.937275371,2.111839231,2.469940933
8,3.540365714,3.492587858,2.763738193,4.009467491,NaN,4.358834056
9,3.284715969,3.822687434,2.732464111,NaN,2.472214726,NaN
10,2.420576301,2.224214632,2.828040683,2.882802916,3.447345818,3.82959396
11,2.340538633,2.922815982,2.880137958,3.562118315,NaN,3.769307093
12,3.218095953,3.618437495,4.298745869,4.954069527,4.093077876,5.047942241
13,2.437260284,2.674783069,3.197493156,3.39074326,2.756204191,3.875463557
14,2.954222083,3.121244928,2.645483254,3.390441314,2.963438843,4.457919981
15,1.930134242,2.683483374,3.204457541,3.514868731,2.626615592,5.106893102
16,3.857531864,4.086913452,3.619556751,4.125205792,3.581233085,NaN
17,2.353294543,3.914497041,2.167093312,3.146699295,3.657555349,3.954873318
18,NaN,NaN,4.275192342,4.531979217,4.220465568,5.199139801
19,3.468576547,3.895308766,2.474975727,2.860738187,2.579148656,3.505339662
20,3.384199186,3.424351569,1.944503506,2.551602108,3.966788272,4.15327151
