Participants,0_slow,0_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,1.683367773,2.212710831,2.03959328,1.694880711,NaN,NaN
2,2.015831803,1.104542525,1.07832672,NaN,3.399232887,2.729423382
3,2.661686099,3.790065692,1.896475559,1.395781837,NaN,NaN
4,1.621710014,1.442784259,3.041597064,2.085701697,2.572865418,2.306669432
5,0.615328658,0.845516847,1.486173398,1.394658153,1.212993342,1.402116354
6,4.450214554,4.978010583,3.463417024,3.206079404,NaN,NaN
7,2.23057966,1.390943353,3.543093847,1.882894871,3.930189453,3.473297902
8,3.447131177,2.106317704,2.612171635,2.178630907,NaN,3.205082723
9,1.865376114,1.826373918,2.887560456,NaN,1.299280015,NaN
10,3.061846903,2.848960763,3.835627117,3.576707441,3.489045552,3.230096614
11,1.646439354,1.979067981,1.360289699,1.258936396,NaN,0.740652629
12,2.846058933,2.390829257,1.7630414,1.654386071,2.3397243,1.24776011
13,1.585473452,1.38039817,1.692610378,1.902635775,1.499638445,0.711525728
14,1.556041219,1.892977151,1.358732099,0.882322803,1.586995281,1.642471258
15,3.491366235,3.965352577,3.933226454,2.71888632,3.168365792,2.706411776
16,3.044783751,2.812399405,2.49005995,1.489119035,2.986861086,NaN
17,4.565890863,3.296027174,4.553187474,4.982808187,2.36853186,3.078212451
18,NaN,NaN,4.25461022,3.502715467,3.436926558,4.116557232
19,1.779461587,1.520186108,1.16021711,1.034830783,1.465013456,3.550996209
20,1.182099925,1.300562612,2.808118614,1.314947859,2.288174667,1.317281313
