Participants,0_slow,0_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,3.56451678,4.275674441,3.370115121,5.073806226,NaN,NaN
2,5.322538861,6.422089207,3.430933109,NaN,5.573896816,7.737536707
3,4.635328882,4.141053569,3.658169482,6.34007191,NaN,NaN
4,2.905537709,3.102110467,4.684624442,5.140095324,4.159138827,4.654978219
5,2.917433822,3.257346467,2.465805599,2.732144178,3.210598773,4.42621843
6,3.786336406,2.918249768,3.298471968,3.762892319,NaN,NaN
7,1.689044868,2.828418348,3.269154334,3.409246438,3.316055178,3.740631365
8,4.836475659,3.797344578,3.164967615,4.510427272,NaN,4.636570184
9,4.086943302,4.837693524,3.708112807,NaN,3.235362919,NaN
10,2.581236778,2.137548405,4.354019497,3.843150683,4.198259442,4.20196013
11,2.90427201,3.56756235,3.607842999,4.512348718,NaN,4.441732996
12,3.307230728,3.743032719,4.924802692,6.090019388,4.30184983,5.748033389
13,3.168465294,3.345915535,3.573187076,3.779105424,2.956459638,4.109812932
14,3.239851153,3.683711802,2.951547069,4.104863141,3.375438118,4.900342299
15,2.793386731,3.230491714,3.426240867,3.966154176,3.255413898,5.921380199
16,4.140761911,4.644532629,4.183356964,6.425784751,5.016028703,NaN
17,4.076541645,5.120264716,6.48944728,7.729074267,4.596449434,5.315754929
18,NaN,NaN,4.971203401,5.168111455,6.111726311,5.667910933
19,4.53547907,5.352914568,3.58891666,3.863338869,3.162103143,3.744631465
20,4.410792755,4.582800931,2.062988209,2.57677318,4.678703321,5.016792951
