Participants,0_slow,0_fast,TBAS15_slow,TBAS15_fast,TBAS30_slow,TBAS30_fast
1,4.431130396,3.403162682,4.485078856,4.818317601,NaN,NaN
2,2.691979319,2.359792502,4.189326853,NaN,5.26060409,5.176583007
3,5.725776205,6.267770832,8.41080368,6.89697383,NaN,NaN
4,2.519695024,2.552163291,3.914053724,4.083188674,4.786397439,4.94890449
5,3.624351925,3.743088975,3.69444145,4.231569501,4.80626956,4.963069427
6,4.677472531,6.626599577,5.922793462,4.858771462,NaN,NaN
7,2.995719144,2.411382572,4.265506179,4.003649662,3.359175925,3.822119225
8,7.376097881,5.752614364,6.684140137,6.133671473,NaN,8.289585511
9,3.291743069,3.535568224,3.772613353,NaN,3.109223287,NaN
10,4.530780848,4.885147686,6.228943066,6.706506597,6.354915558,6.215347166
11,2.650006244,2.776086763,3.429967752,3.485180536,NaN,3.606671729
12,4.309574257,3.916834693,4.555808512,4.463799882,5.014489356,4.474434726
13,1.972675396,2.36793172,3.416695105,4.44092061,4.722462761,3.900188554
14,3.696616331,4.058920871,3.903711913,3.657972784,4.257914128,4.841296014
15,3.289039972,3.704095924,4.254327378,3.927127181,4.779389978,4.42464966
16,7.240559777,6.39223999,6.091906656,2.882524922,8.04088637,NaN
17,5.292038819,5.418996703,3.457685644,4.129307158,4.995523932,5.650913302
18,NaN,NaN,6.645657484,6.353594218,8.194673586,8.411101838
19,2.935045148,3.140562469,2.646564381,2.962925039,3.296202952,6.155781455
20,3.572369071,3.744552018,4.221178878,4.266337804,5.642299736,5.732373768
